x,pi_x,pnt_approximation,li_approximation,pnt_relative_error,li_relative_error,pnt_absolute_error,li_absolute_error
10,4,4.3429448190325175,10.001784508815746,0.08573620475812938,1.5004461272039364,0.3429448190325175,6.001784508815746
20,8,6.676164013906681,11.882486006464923,0.16547949826166486,0.48531075080811537,1.3238359860933189,3.882486006464923
50,15,12.781110931766573,18.99945320088954,0.14792593788222846,0.26663021339263604,2.218889068233427,3.9994532008895405
100,25,21.71472409516259,29.81188096067677,0.13141103619349637,0.19247523842707082,3.285275904837409,4.8118809606767705
200,46,37.74783316355097,49.08442269467411,0.17939493122715278,0.06705266727552414,8.252166836449028,3.0844226946741102
500,95,80.45559624700124,99.57943202975693,0.15309898687367116,0.048204547681651895,14.544403752998761,4.57943202975693
1000,168,144.76482730108395,174.4244522641635,0.1383045993983098,0.03824078728668753,23.235172698916045,6.424452264163506
2000,303,263.12664984790376,310.448516718873,0.13159521502341992,0.02458256342862379,39.873350152096236,7.448516718873009
5000,669,587.047855746548,677.8586036705806,0.1224994682413334,0.013241560045710879,81.95214425345205,8.858603670580578
10000,1229,1085.7362047581294,1237.554077397186,0.11656940214960995,0.006960193162885185,143.26379524187064,8.554077397185893
20000,2262,2019.490598024563,2277.063237991789,0.10721016886624092,0.006659256406626353,242.50940197543696,15.06323799178881
50000,5133,4621.166782321471,5149.109221860716,0.0997142446285854,0.003138363892600115,511.83321767852885,16.10922186071639
100000,9592,8685.889638065037,9605.548654246393,0.09446521704909959,0.0014124952300243118,906.1103619349633,13.548654246393198
